ID,RecipeNumber,RecipeCode,RecipeName,CommentID,UserID,UserName,UserReputation,CreationTimestamp,ReplyCount,ThumbsUpCount,ThumbsDownCount,Rating,BestScore,Recipe_Review
248,12,19731,Cauliflower Soup,sp_aUSaElGf_19731_c_330655,u_1oKW7JkYzhweykkO6keOmaquyai,suefetzer,1,1622717992,0,0,0,5,100,"This soup is excellent!  Everyone loved it, I also added some chopped onion because I had some handy from making another soup"
37,23,14600,Buttery Cornbread,sp_aUSaElGf_14600_c_192560,u_1oKXHdj6AUHuGzjVCIVZF0xbmg4,Jessie137,1,1622717303,0,0,2,3,100,I made this exact recipe and it was too grainy and falling apart and too sweet. It wasn&#39;t horrible but it&#39;s not great corn bread either.
95,10,2912,Zucchini Pizza Casserole,sp_aUSaElGf_2912_c_138346,u_1oKVzHYHmEVD5JRfkYP3mOFdbAN,Guest6034,1,1622717009,0,0,0,5,100,"Excellent recipe. I wouldn&#39;t call it pizza per se, reminded me more of carb-less lasagna. I cut the amount of  ground beef in half, doubled the onions and added about as much mushrooms. I used jarred Barilla traditional pasta sauce. Next time I&#39;m thinking of using only half the cheese in the zucchini mix and replacing that amount with more zucchini, and double the salt. I&#39;ll also add garlic as many commenters have suggested. It holds up well as leftovers."
49,49,45495,Gluten-Free Banana Bread,sp_aUSaElGf_45495_c_139797,u_1oKW6op2liEIltGNNBB30t9uU01,wsdee,1,1622717015,0,0,0,5,100,"Excellent,  would not change a thing!"
48,67,16579,Chicken Wild Rice Soup,sp_aUSaElGf_16579_c_243488,u_1oKX7cV3yzfpMU1TF6lVs1jKwlP,cariboocook,1,1622717539,0,0,0,5,100,"Made this soup today and it is delicious.  It has lots of flavor and a nice consistency.  It is not a thick creamy soup but is full of veggies, chicken and rice.  I did make the flour and butter into a rue; cooked for 2 minutes then added chicken broth;  cooked another 2 minutes then I added the canned soup to this mixture to heat in order to ensure no flour taste and got a real nice cream texture to add to the soup.  The only change I made was to use cream of chicken soup but mushroom would be equally nice.  This recipe is time consuming so do the prep work ahead as Virginia suggested or just be prepared that it will definitely take longer than 10 minutes to prepare.  Will definitely be making again.  Thanks Virginia."
62,94,8015,Easy Peanut Butter Fudge,sp_aUSaElGf_8015_c_307533,u_1oKW19Fbmh59krLaC8ANeJ4q4DF,tiger51,1,1622717883,0,0,0,5,100,"this is a perfect fudge to make with my 12 year old son he loves peanut butter,and loves fudge.Go peanut butter lovers!"
97,52,27434,Asian Chicken Thighs,sp_aUSaElGf_27434_c_205802,u_1oKVZoIOMWJ2j7TA7py2BIbf1mm,mjlouk,1,1622717357,0,0,0,4,100,"I skipped the skillet part and just baked the whole thing in the oven.  Really good, we all liked it!"
233,9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_336676,u_1oKbmPMBay0wdDC5vkl3A7i6voR,knitter360,1,1622717996,0,0,0,0,100,This was everything and more that was in the promo.  Great recipe!
175,14,7178,Zucchini Cupcake,sp_aUSaElGf_7178_c_168886,u_1oKX1K5nUSDhoxmRAsVcj1tYM7u,Jessie Fishel,1,1622717175,0,0,0,5,100,"I found that 2/3rd full was a little to much, next time I&#39;ll use less.  Tastes like spice cake, very moist and everyone loved them."
107,78,36217,Creamy Macaroni and Cheese,sp_aUSaElGf_36217_c_121966,u_1oKVnczx6VAYPeQe0DgIIIh907I,Ceracita,1,1622716937,0,0,0,0,100,Can&#39;t wait to try this! I&#39;m going to add bacon pieces to it :o)
41,55,38550,Special Banana Nut Bread,sp_aUSaElGf_38550_c_269866,u_1oKVZk5SSueZta9FvIxnrCQtSGW,zookeeperk,1,1622717645,0,0,0,5,100,Really liked this recipe.... made it exactly as Beverly wrote it!! YUM!
155,39,28058,Shrimp Scampi,sp_aUSaElGf_28058_c_246251,u_1oKVwmaK3mttBUTFiZQcyK9nRP9,annemg,1,1622717564,0,0,0,4,100,My 12 year old son loves this delicious dish. He likes the honey grilled shrimp better though.
104,8,6086,Apple Pie,sp_aUSaElGf_6086_c_420622,u_1oKd4dhG65et0kvkfz8hnJHwxct,Lillishiningon,1,1622718416,0,0,0,5,100,This was a hit. I left the sugar the same but used about 9 cups of sliced apples-we like our pie deep dish.
200,9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_204683,u_1oKVxSayZT7mzsLqpnbEufxKGLD,ANomdeplume,1,1622717345,0,0,0,3,100,"I really thought this was going to be better based on all the other reviews.  Maybe it was the kind of black beans I used or the type of Italian dressing, but my family didn&#39;t love it.  I may try this one again just because I love anything with tomatoes or cilantro."
185,5,42386,Pumpkin Spice Cupcakes with Cream Cheese Frosting,sp_aUSaElGf_42386_c_290498,u_1oKZsi8fXD2dFQn1M8xl9i20yKZ,ballst,1,1622717794,0,0,0,5,100,"These are really good.  I took they to work for our Halloween Party and everyone wanted the recipe.  Maybe I didn&#39;t fill the cups as much as recommended, because it made more than 2 dozen."
104,48,9739,Best Ever Potato Soup,sp_aUSaElGf_9739_c_272810,u_1oKYnvr9rgVABoYD72GY6MrzuC3,Buffs6236,1,1622717697,0,0,0,5,100,Simply amazing
390,9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_427301,u_1oKaxn3ZWSQ3P9MABybNtcT1jR6,SarahSue42,1,1622718447,0,0,0,5,100,Wonderful! I added fresh chopped green onion to the top.
174,6,21444,Favorite Chicken Potpie,sp_aUSaElGf_21444_c_234311,u_1oKWrs2bFRd0vjmcECRVJbrnE0W,literaryliz,1,1622717515,0,0,0,0,100,"Love that the recipe makes two pies, one to bake and one to freeze!"
112,9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_135690,u_1oKWVyV6XBBzcW6qwMV6vRPTT8S,Kate B,1,1622717019,0,0,0,5,100,Everyone in our family loves this recipe and it has been become a regular for us. I have made is per the recipe and also made a version where I changed the sour cream for Non-fat plain greek yogurt and it tastes the same. LOVE this!
153,15,10252,Liâ€™l Cheddar Meat Loaves,sp_aUSaElGf_10252_c_393013,u_1oKWAxEsCxBUQYziSm5nULcVf9R,joannrandall,1,1622718297,0,0,0,0,100,I have made these many times for family and meals to take to friends. Everyone loves them! I make them exactly as the recipe calls!! They are fabulous!!
57,33,32535,Creamy Grape Salad,sp_aUSaElGf_32535_c_369316,u_1oKbfvlUwFhKLoKmWcTbGyqKbrq,Kate ,1,1622718145,0,0,0,4,100,"When I have to tweak a recipe I automatically take a star away.  With that being said, this recipe was good and we enjoyed it but it does need the additional brown sugar for me.  I added a fourth of a cup and everyone loved it!  I will make it again."
272,13,32480,Basic Homemade Bread,sp_aUSaElGf_32480_c_369701,u_1oKbcfon39r0dSYOSzPOHfr79wi,NaniitaKumar,1,1622718145,0,0,0,0,100,"When you say 1/4 ounce of yeast, does that equal to 7grams of yeast? I have access to dry yeast by the packets. Each packet contains 1 g of dry yeast. Do I use 7?"
119,14,7178,Zucchini Cupcake,sp_aUSaElGf_7178_c_268844,u_1oKVnRaEZMCenxKJzshXOiHYG4R,sfprincess,1,1622717676,0,0,0,5,100,"Really delicious, probably the best cupcakes I&#39;ve ever made.  The frosting is perfect and a great recipe alone.  It&#39;s a wonderful blend of a branny taste with a sweet one."
134,46,18345,Simple Au Gratin Potatoes,sp_aUSaElGf_18345_c_131086,u_1oKWJssLITNnCcZGDOKDwkwSncg,hlovestocook,1,1622716972,0,0,0,5,100,"dollargirl, how did it go making for 100 people?   Very curios, I was thinking about trying it."
51,17,36450,Fluffy Key Lime Pie,sp_aUSaElGf_36450_c_377742,u_1oKVydo0oH4X27QgWGSFyF4slKY,treacher,10,1622718219,0,0,0,5,100,"YUMMY- I made two pie&#39;s ,so simply and so  good. I&#39;m giving the other one to my sister in law for her family for Easter. Thank You, Lee-Ann Treacher"
95,76,46655,Chocolate-Strawberry Celebration Cake,sp_aUSaElGf_46655_c_194426,u_1oKYYCilHA98oMVtvs8vUDGIAzL,39b9501,1,1622717309,0,0,0,5,100,"I made this for my sister&#39;s birthday, and it was a very big hit.  Would definitely recommend it."
160,13,32480,Basic Homemade Bread,sp_aUSaElGf_32480_c_388262,u_1oKd9nWscIDanGjVmRKc9hIQAcm,AngelaJohnson,1,1622718281,0,1,0,5,193,Have been using this recipe for years and I love it! Always consistently good bread!
16,40,8431,Rhubarb Custard Bars,sp_aUSaElGf_8431_c_415724,u_1oKdyd0ZQf6YgEsQHAgzkmJBngN,DeniseSuba,1,1622718435,0,5,0,5,354,Theses were fabulous. I picked my rhubarb in the morning. I made the 1/2 recipe more tart version and they were liked by all. I agree that people who think they donâ€™t like rhubarb would love these. So different!!
4,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_432323,u_1tOHuoHsIKxNgRRS2s1MxNt9jg6,GoldApple,0,1622648873,0,2,2,5,167,"Just made these banana bars for Easter. They were delicious, I added a half banana to the icing. I wasn&#39;t sure if the banana would turn the icing a weird color or texture but it turned out great. Next time I will add an entire banana. My icing was a little sticky (meaning it came off a little on the cellophane when transporting it), I&#39;m guessing I could have added more confectioners sugar, but it just seemed like a &#34;ton&#34; of sugar. Regardless, it was great! Next time I will also add the 2 T. of whipping cream as mentioned below. Thanks for the recipe!"
350,7,12540,Flavorful Chicken Fajitas,sp_aUSaElGf_12540_c_149902,u_1oKVlXhRgObu6qvsXnUTY4Z5NB7,melodious88,1,1622717099,0,0,0,5,100,Great recipe! Definitely a keeper!
17,7,12540,Flavorful Chicken Fajitas,sp_aUSaElGf_12540_c_22ZBXdhgKIa8RpVWRhA8pQABeKO,u_8HrDyxmMYCAI,dlynsmith9,60,1640035269,0,5,6,5,623,"I left the lemon juice and paprika out when I marinated, and I marinated the chicken overnight.  I did not use peppers, because we are allergic to them.  I did the rest of the recipe as written.  It was very delicious and tasted just like the fajitas you get at a restaurant.  I served it with Mexican rice and refried beans.  I will be making this recipe again."
55,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_290563,u_1oKZuWVzxUhjxpJt1UCfxu9DmcF,TraciNeid-Milbrett,1,1622717791,0,0,0,5,100,These are really easy and so delicious. I only had a half sheet pan. They were thinner than usual but still turned out great. Highly recommended!
134,73,41095,Contest-Winning New England Clam Chowder,sp_aUSaElGf_41095_c_346384,u_1oKc4ATXUtGjh6jS6i6zmAgdb8M,DorineM,1,1622718056,0,0,0,0,100,To Pickup2....I almost fainted when she asked if she whould add Tomatoes to make it &#34;Boston&#34; Clam Chowda.....as a Bostonion we would NEVER add tomatoes....that is known as Manhattan Clam Chowder with a tomato base!
93,24,957,Sandyâ€™s Chocolate Cake,sp_aUSaElGf_957_c_325042,u_1oKXleMA2hFsw8XNgGEwdnHKh4l,mugsymom2010,1,1622717919,0,0,0,0,100,This recipe is like the Hershey chocolate cake recipe except for sour cream. I&#39;ve made the Hershey numerous times and it&#39;s wonderful so I&#39;m sure this one is too
125,28,12734,Cheesy Ham Chowder,sp_aUSaElGf_12734_c_325130,u_1oKWQuVG49YxeAxTiqCrSbcVdSh,xrayeyes2,1,1622717958,0,0,0,5,100,This recipe is not only delicious but also versatile!  Follow the basics but you can vary the veggies. Tonight I added diced zucchini! I cut back a bit on the bacon &amp; cheese but it&#39;s still great. What a wonderful recipe for a chilly night!
66,74,26937,Pineapple Pudding Cake,sp_aUSaElGf_26937_c_191750,u_1oKXi2PgzMZJq9NyD6LiDVlMMeP,kk321,1,1622717318,0,0,0,0,100,"I made this cake 3 times already since march 21,2010. Husband loves it, coworkers went crazy for it and I made it for the family for Easter and they loved it and all asked for recipe. Great lite cake"
9,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_24Fso1ApihQ91uCmNvhBDDO1k2P,u_cDoX9ujcQEoc,Susannah953,1,1643237839,0,0,0,5,404,I make this a lot â€¦ my kids and there friends come over and ask me to make this all the time ..
73,84,4444,Strawberry Pretzel Salad,sp_aUSaElGf_4444_c_162568,u_1oKXJcoGHeirb6iS3E6SB8DuSRQ,VirginiaStrine,1,1622717124,0,0,0,0,100,I can&#39;t find frozen strawberries that are sweetened anymore.  How much sugar needs to be added to the unsweetened strawberries &amp; should they set awhile to bring out the juice?
76,34,19201,Peanut Butter Chocolate Dessert,sp_aUSaElGf_19201_c_324277,u_1oKVa4FRbXOpXUvsOeyfhia7y1N,paul3303,1,1622717911,0,1,0,5,193,This recipe is definitely a keeper.  I made it for a family dinner and it got rave reviews.  The peanut butter flavor came through with the chocolate for a taste combination that is classic.  Thank you for sharing a great desert.
53,89,1324,Porcupine Meatballs,sp_aUSaElGf_1324_c_397111,u_1oKd0xe4WRgi4ggGdgpdP5WARjj,MaryOstrander-Crawford,1,1622718320,0,0,0,0,100,I make them all the time only I have been taught to make them with tomato soup and just salt and pepper in my meatballs. Delicious
44,67,16579,Chicken Wild Rice Soup,sp_aUSaElGf_16579_c_222325,u_1oKWRRsonxQY8Z21nlsVF7lRgbK,OzarkMeatSmoker,1,1622717443,0,1,0,0,193,"I&#39;m going to try this, bet it is good. Lived in East Bethel, MN 10 years. As I read through the recipe I thought &#34;Where is the cream of mushroom soup???&#34; Then I saw it."
93,60,11588,Slow-Cooker Lasagna,sp_aUSaElGf_11588_c_229180,u_1oKWXbYGF6zxvfuzl0HNVnAsh1G,marinemomdiamond,1,1622717471,0,0,0,5,100,I&#39;ve made this a quite a few times and my family loves it!  I sometimes throw on an extra layer which is nice and is something  you can&#39;t do in a baking pan.
59,34,19201,Peanut Butter Chocolate Dessert,sp_aUSaElGf_19201_c_334777,u_1oKbyks91veEbMB1GmrqceBYiN6,jetsgrl11,1,1622718000,0,1,0,5,193,"This was amazing. I made it for my boyfriends birthday and then for Christmas Eve. Everyone loved it.One of the complaints was that it was too sweet. I made it with sugar free cool whip and chocolate pudding, and light PB. It was not to rich. Just do not use light or reduced fat cream cheese because it changes the consistency."
311,9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_423321,u_1oKWwHb3AKbtJguuEY2XSeu9G0c,ychontos,1,1622718422,0,0,0,5,100,Very delicious and easy to make. Will for sure make again and again and again...
615,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_381049,u_1oKVggQUdGID7oRqTsDfStoLlTg,rockstaralice,1,1613176899,0,0,0,5,100,Awesome!!!!!!!!!!!!!!!!!!!!!!
2,44,31278,Corn Pudding,sp_aUSaElGf_31278_c_21bhaYMnkudKAcuK3FJDToPDn65,u_cQh6lytduhZN,Donna196,1,1638215759,0,8,0,5,840,I&#39;ve tried a wide variety of corn pudding recipes and this is the best I&#39;ve found.  Made it at Thanksgiving and everyone loved it.  This will now be my go-to recipe!
93,62,1152,Pork Chops with Scalloped Potatoes,sp_aUSaElGf_1152_c_174570,u_1oKWBNsexHVLqEPUHP1Coplnvni,sjp9956,1,1622717217,0,0,0,5,100,"I have made this and it is delish. I have also used boneless chops and instead of the chicken broth, I have used 1 can of cream of mushroom soup mixed with a 1/2 cup of sour cream. Both are wonderful."
69,26,386,Hot Milk Cake,sp_aUSaElGf_386_c_417478,u_1oKVk6TkPwJx2IVTYa4UR8fRraM,Mrsatj,1,1622718398,0,2,0,5,253,"This is an excellent cake.  Made it just as recipe instructed.  You need to have oven preheated when making this cake.  It needs to go into the oven as quickly as possible, while the batter is still warm. I think it rises better that way."
4,63,24886,Chicken and Dumplings,sp_aUSaElGf_24886_c_432881,u_1oKYTN09x2Oxs2tNxizubh3t3ht,Kim Mallicoat,1,1622648873,0,23,0,0,485,"At end of instructions, I felt it necessary to add 2 TBSP of cornstarch mixed in with some cooled broth, in order to make it a little thicker. I also added 1/4 tsp more of the poultry seasoning. The dish is tasty and quick to prepare."
129,27,43675,Macaroni Coleslaw,sp_aUSaElGf_43675_c_299562,u_1oKW5OEY6NjkJlaDMDJryMR2cmN,judyathey,1,1622717840,0,0,0,5,100,This a fantastic salad. It makes a large amount so it&#39;s good to take to a cookout party!
34,74,26937,Pineapple Pudding Cake,sp_aUSaElGf_26937_c_301280,u_1oKXV2bqzAJ6j1Bm5khGL0hnRMw,youthought,1,1622717851,0,0,0,5,100,this cake was yummy awesome !   0:-)
32,95,18341,Bacon Macaroni Salad,sp_aUSaElGf_18341_c_205243,u_1oKW3ohHgXglKbDx67gwFbwo4YN,CHEFOFTHEFUTURE,1,1622717370,0,0,1,4,100,"I saw this same salad in the Jewels Food Store Deli. Bought a half pound. Figured  out simple ingredients, looked up recipe, found this one. Only difference is they added cheddar cheese, green and red pepper. I added 1/2 cup Cesar dressing, and little grlic powder. YUMMMM."
36,6,21444,Favorite Chicken Potpie,sp_aUSaElGf_21444_c_429400,u_1oKdRYcnvjnheo8Zyd0sWElYFdv,Cathy,1,1622648883,0,1,0,5,193,"Absolutely delicious!   Easy, tasty and filling!"
231,16,41101,Rustic Italian Tortellini Soup,sp_aUSaElGf_41101_c_168354,u_1oKX0earA5Qphmkfhzyt6ioIRgp,Army_Mom,1,1622717164,0,0,0,5,100,I forgot to mention that I used 2- 28 oz cans of Hunt&#39;s diced tomatoes for my double batch.
127,13,32480,Basic Homemade Bread,sp_aUSaElGf_32480_c_392537,u_1oKc7JiV5Qx69SWIqh96Ao1F7VW,PeeJaye,1,1622718306,0,0,0,5,100,"I had seen this recipe and then lost it so was going from memort.  I used 2 pks of yeast instead of 1- it was fantastic!!  Chewy, soft, and that yeadty flavor I love.  This makes a wonderful  base for cinnamon rolls- hint hint!"
58,41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_130996,u_1oKWFlMziaFAqRWLvZ2NtmIjC8d,ginny3235,1,1622716972,0,0,0,5,100,Does it actually HAVE to be sugar-free caramel topping or will reg. Smuckers work? I want to try it for Thanksgiving.
101,92,141947,Ham and Swiss Sliders,sp_aUSaElGf_141947_c_153023,u_1oKWW2lLmiQXKheymUkNNjMe1b9,AngelRQJ,1,1622717084,0,0,0,5,100,"Had to try this after seeing them in the magazine and floating around the net.  My family was very hesitant to try it because of the mustard in the glaze.  I&#39;ve made it 3 times now, everywhere I go they are gone very quickly.  I have been making them by using a 24 ct pack of rolls.  I slice the top off, put the bottom half in the 9x13, layer on the toppings and put the top back on.  We don&#39;t use the horseradish or butter or anything inside of the sandwiches.  I use a large knife to cut through everything after they are done cooking.  We use 1/4 tsp. Onion Powder because we don&#39;t like onions.  I&#39;ve let it sit over night and I&#39;ve made them an hour after making them.  They are best when left to sit over night but still good if made sooner than that as well.  I haven&#39;t had so many people ask for my recipe in a long time, they are so unique and SO GOOD, YUM!"
92,15,10252,Liâ€™l Cheddar Meat Loaves,sp_aUSaElGf_10252_c_319514,u_1oKaNhV3lBEJgz9w2Zcixo5Ned1,hanovek,1,1622717939,0,0,0,5,100,this is the ONLY meatloaf recipe I use.Since 1999 it is still the best.Make it into one meatloaf or 4 minisadd Worcestershire &amp; Siracha  to the sauceall I can say is YUMMY
260,6,21444,Favorite Chicken Potpie,sp_aUSaElGf_21444_c_149388,u_1oKWlRNa8BUUfRHDHUXipOL4m9M,RiskyBizzz,1,1622717066,0,0,0,5,100,Great recipe and so easy!! The first time I made it I cut the recipe in half and made one pie. The second time I made it I cut the recipe in half  and made three small 51/2 inch individual pies. The next time I will make the full recipe and make individual pies and freeze some. I followed the recipe exactly except I added a little extra broth to make it more creamy. I absolutely love this recipe! This is my go-to Chicken Pot Pie Recipe!! Thank you for sharing!
31,44,31278,Corn Pudding,sp_aUSaElGf_31278_c_324479,u_1oKbmE1N4vibOjWKyn64RnduD3u,LydiaMcFadden Thomas,1,1622717913,0,0,1,5,100,"This recipe is easier than making the whole thing from scratch, which my sister does, but tastes equally as delicious! My family is over the top so I adjusted the recipe, added an extra cup of sugar and an extra can of corn kernels. Yummy! More like a dessert though. No more ridiculous than candied yams I guess. Funny how we can turn perfectly healthy foods in to either candy or a heart attack! Happy thanksgiving!"
7,50,100276,Grilled Huli Huli Chicken,sp_aUSaElGf_100276_c_434088,u_1oKZCQcKQZdQhDVBS7oISc216VA,ds422,1,1622648899,0,0,0,5,100,This is our favorite grilled chicken recipe.  Great flavor!!
91,21,33206,Pineapple Orange Cake,sp_aUSaElGf_33206_c_300674,u_1oKZ3f5AK1MbuDXQX5nEnQrzqYG,delbert9,1,1622717813,0,0,0,0,100,This cake is very good.
493,3,2832,Cheeseburger Soup,sp_aUSaElGf_2832_c_149830,u_1oKWkmN8gG8TK0xyvtC93mOYx2d,Leromero,1,1622717079,0,0,0,5,100,Great recipe!  Made almost exactly as written (left out the sour cream since it was already so creamy). My husband and I both loved it and can&#39;t wait to make it again.
414,3,2832,Cheeseburger Soup,sp_aUSaElGf_2832_c_219192,u_1oKXwJuI2gXSMw9cietYTqdk6wo,donna63,1,1622717454,0,0,0,4,100,I&#39;ve been making a variation of this for years.  My husband loves it.Tip:  it&#39;s way easier to add the extra butter and then the flour to the celery and onion mixture than it is to make a separate roux.  You have more control over how thick your soup will be and you don&#39;t have to mess up an extra pan.  It&#39;s an extra step that&#39;s very unnecessary.
138,36,1196,Pumpkin Bread,sp_aUSaElGf_1196_c_183801,u_1oKWWUHbTcyQ9GlNIxzciX5lVMP,dwoodroof,1,1622717244,0,0,0,5,100,"I love this bread ... even people who say they dont like pumpkin, love this bread . I dont put in raisins."
277,9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_396687,u_1oKXmaSmClgggX7KWd70SK3qqF7,mattsond,1,1622718305,0,0,0,5,100,I made this recipe using tortilla chips instead of the flour tortillas.  It was delicious!  I will definitely make it again.
41,26,386,Hot Milk Cake,sp_aUSaElGf_386_c_401254,u_1oKcuhVBG1xVnpLXqCk4NY3x2Yr,SandraThompson,1,1622718321,0,7,0,0,390,"Iâ€™am 79. We had this cake all the time when I was little. Donâ€™ to know where my mother got this. I still make this now and my kids and grandkids love it. The only differents I use 2cups flour, 2teaspoon baking soda, 1teaspoon salt mix together, 2 cups sugar and 2 eggs mix this together, 1 cup milk 1tablespoon crisco shortening, melt crisco in milk. Alternate flour mixture and milk. Do not beat, mix well. 375 oven, 25mins. Test at 20 mins. Test with toothpick. Now we only made a layer cake. Always this chocolate frosting. 4 Tablespoon butter, 4 ounces unsweetened Hersheyâ€™s chocolate, melt together. 3cups sifted confectioners sugar, 1teaspoon vanilla, 1/8 teaspoon salt. 1/3 cup warm milk. Add not all milk at once to sugar and chocolate mix now add rest of milk. Frost cake, serve warm. My mom always put 4 toothpicks to hold cake together, who ever gat a toothpick got another piece of cake. This tradition still goes own. ENJOY! Sandra"
157,50,100276,Grilled Huli Huli Chicken,sp_aUSaElGf_100276_c_165463,u_1oKVqZrSpbwLHDizQvPNcD5WJGY,gratefulservant_AZ,1,1622717131,0,0,0,5,100,"I discovered this recipe while on vacation in HI and knew I would want to try it. I used 4 large boneless skinless chicken breast halves and 3 filet type smaller ones and halved the sauce recipe. Subbed ground ginger and garlic powder for the fresh ginger and garlic since that was what I had on hand. Marinaded in 1 c. sauce and basted with 1/4 c. reserved sauce. Moist, juicy, and delicious. Definite keeper here."
14,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_405422,u_1oKbXDq1WjeqqjhQ2oyCxEOTy3o,GlutenFreeSherry,1,1622718356,0,4,0,3,329,"Made this recipe to the letter except added walnuts to the batter and frosting.  Batter mixes up well and bakes quickly in the sheet cake pan.  Frosting is tasty, but does not have as strong of a cream cheese flavor as recipes made without the added butter this one has.  The cake is relatively moist and has a nice texture, but without any spices, it tastes a bit bland.  I  will make this again, but will add some cinnamon and/or nutmeg  to give it a bit of a boost in flavor."
66,23,14600,Buttery Cornbread,sp_aUSaElGf_14600_c_202346,u_1oKXrqkS5BRCuKD2RZErW95KJ4C,Catherine,1,1622717329,0,1,0,5,193,"I normally eat healthy, but every once in a while I will treat myself to some good &#39;ole fashion home cooking.  This cornbread recipe I awesome!  I made a pot of greens usi5n this cornbread recipe and felt like 8 was eating corncread cake!  Yummmmmyyyyyy!"
343,13,32480,Basic Homemade Bread,sp_aUSaElGf_32480_c_174587,u_1oKW7UNw5VT296LpCAyvivB19A1,seablue02,1,1622717216,0,0,0,5,100,"I have made this bread several times over the past month and this is what I can tell you.  (1) the first time I made it, I used all purpose flour, as the recipe called for.  The bread came out really good.  (2) the second time I made it, I used bread flour.  The bread came out really good.  In both, the texture was good, but just  a bit different from each other.  Then came (3) and this time, I used a combination of 1/2 all purpose and 1/2 bread flour.  Results?  Perfect phenomenal bread.  This had a great texture and taste and this will be the way I make it from now on.Ok, now, I like a few others, have found that 5 cups of flour proves to be enough flour.When I made bread tonight, I made 2 small loaves and a pan of cinnamon rolls.  My husband and grandson loved them.   They said the taste and texture were perfect."
